quote,author,tags,combined
"“to the well-organized mind, death is but the next great adventure.”","j.k. rowling,","['death', 'dumbledore', 'harry', 'inspirational', 'philosophers-stone', 'ron', 'sorcerers-stone']","“to the well-organized mind, death is but the next great adventure.” - j.k. rowling, [death, dumbledore, harry, inspirational, philosophers-stone, ron, sorcerers-stone]"
“i'm not afraid of death; i just don't want to be there when it happens.”,woody allen,"['death', 'fear', 'humor', 'life']","“i'm not afraid of death; i just don't want to be there when it happens.” - woody allen [death, fear, humor, life]"
"“if one cannot enjoy reading a book over and over again, there is no use in reading it at all.”",oscar wilde,"['books', 'reading']","“if one cannot enjoy reading a book over and over again, there is no use in reading it at all.” - oscar wilde [books, reading]"
"“if you want your children to be intelligent, read them fairy tales. if you want them to be more intelligent, read them more fairy tales.”",albert einstein,"['children', 'fairy-tales']","“if you want your children to be intelligent, read them fairy tales. if you want them to be more intelligent, read them more fairy tales.” - albert einstein [children, fairy-tales]"
"“have you fallen in love with the wrong person yet?'jace said, ""unfortunately, lady of the haven, my one true love remains myself.""...""at least,"" she said, ""you don't have to worry about rejection, jace wayland.""""not necessarily. i turn myself down occasionally, just to keep it interesting.”","cassandra clare,","['city-of-bones', 'jace']","“have you fallen in love with the wrong person yet?'jace said, ""unfortunately, lady of the haven, my one true love remains myself.""...""at least,"" she said, ""you don't have to worry about rejection, jace wayland.""""not necessarily. i turn myself down occasionally, just to keep it interesting.” - cassandra clare, [city-of-bones, jace]"
“logic will get you from a to z; imagination will get you everywhere.”,albert einstein,['imagination'],“logic will get you from a to z; imagination will get you everywhere.” - albert einstein [imagination]
"“i'm in love with you,"" he said quietly.""augustus,"" i said.""i am,"" he said. he was staring at me, and i could see the corners of his eyes crinkling. ""i'm in love with you, and i'm not in the business of denying myself the simple pleasure of saying true things. i'm in love with you, and i know that love is just a shout into the void, and that oblivion is inevitable, and that we're all doomed and that there will come a day when all our labor has been returned to dust, and i know the sun will swallow the only earth we'll ever have, and i am in love with you.”","john green,","['doomed', 'inevitable', 'love', 'oblivion', 'pleasure', 'simple']","“i'm in love with you,"" he said quietly.""augustus,"" i said.""i am,"" he said. he was staring at me, and i could see the corners of his eyes crinkling. ""i'm in love with you, and i'm not in the business of denying myself the simple pleasure of saying true things. i'm in love with you, and i know that love is just a shout into the void, and that oblivion is inevitable, and that we're all doomed and that there will come a day when all our labor has been returned to dust, and i know the sun will swallow the only earth we'll ever have, and i am in love with you.” - john green, [doomed, inevitable, love, oblivion, pleasure, simple]"
"“whenever i feel the need to exercise, i lie down until it goes away.”",paul   terry,"['exercise', 'humor', 'laziness', 'misattributed-to-hutchins']","“whenever i feel the need to exercise, i lie down until it goes away.” - paul   terry [exercise, humor, laziness, misattributed-to-hutchins]"
"“i am nothing special, of this i am sure. i am a common man with common thoughts and i've led a common life. there are no monuments dedicated to me and my name will soon be forgotten, but i've loved another with all my heart and soul, and to me, this has always been enough..”","nicholas sparks,",['love'],"“i am nothing special, of this i am sure. i am a common man with common thoughts and i've led a common life. there are no monuments dedicated to me and my name will soon be forgotten, but i've loved another with all my heart and soul, and to me, this has always been enough..” - nicholas sparks, [love]"
“sometimes people are beautiful.not in looks.not in what they say.just in what they are.”,"markus zusak,","['beauty', 'life']","“sometimes people are beautiful.not in looks.not in what they say.just in what they are.” - markus zusak, [beauty, life]"
“you don't get to choose if you get hurt in this world...but you do have some say in who hurts you. i like my choices.”,"john green,","['satisfaction', 'self-determination']","“you don't get to choose if you get hurt in this world...but you do have some say in who hurts you. i like my choices.” - john green, [satisfaction, self-determination]"
"“the truth is, everyone is going to hurt you. you just got to find the ones worth suffering for.”",bob marley,['friendship'],"“the truth is, everyone is going to hurt you. you just got to find the ones worth suffering for.” - bob marley [friendship]"
